gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000197746,PSAP,leiden,leiden 2,0.5678257375566862,17.77671168147678,1,0.5678257375566862,0.9424609606951632,3.763561075183042e-226,5.479443840580495e-221
ENSG00000107742,SPOCK2,leiden,leiden 1,0.4783167192886046,1.4574527963522077,0.6774193548387096,0.7060865856165116,0.4554894202093429,1.3193706949502858e-95,1.9208981821920202e-90
ENSG00000107438,PDLIM1,leiden,leiden 3,0.39107722367231534,1.088215688385105,0.5596330275229358,0.6988101209882357,0.37459909987757567,1.8701055332114228e-42,2.7227240479131745e-37
ENSG00000132334,PTPRE,leiden,leiden 4,0.48081110490878987,3.3945464641941347,1,0.48081110490878987,0.23822401349451783,1.40011557229756e-14,2.0384562640194636e-9
ENSG00000185885,IFITM1,leiden,leiden 1,0.3792538766860873,1.4194778022302965,0.629881154499151,0.6021038635258906,0.2724935233986589,1.1078736031342484e-53,1.612975336275215e-48
ENSG00000185507,IRF7,leiden,leiden 4,0.599250311446483,4.899371733786111,0.9714285714285714,0.6168753206066737,0.25265632539728206,2.1512596265841426e-15,3.1320619155363847e-10
ENSG00000133789,SWAP70,leiden,leiden 3,0.5439283505178775,2.2363871161244853,0.8073394495412844,0.6737294341641891,0.4524499545707673,8.479591853292859e-52,1.2345607371046138e-46
ENSG00000156738,MS4A1,leiden,leiden 3,0.9372554725117044,10.514196167485878,0.9908256880733946,0.9459337639238498,0.9538327083410735,7.605259696747659e-122,1.1072649697688852e-116
ENSG00000133321,PLAAT4,leiden,leiden 1,0.39704436345851485,2.603444610323241,0.8421052631578947,0.4714901816069864,0.18193792481794463,3.238902068173627e-35,4.715582299095347e-30
ENSG00000173457,PPP1R14B,leiden,leiden 4,0.686591946952615,6.7215375941188436,1,0.686591946952615,0.3932674092920385,1.9853921140486596e-23,2.8905720866857244e-18
ENSG00000245532,NEAT1,leiden,leiden 2,0.614278829383272,46.506216460896454,0.9953161592505855,0.6171695532862521,0.8429635642959482,1.166821329454742e-190,1.698798509979748e-185
ENSG00000172543,CTSW,leiden,leiden 1,0.4350034348088001,2.0858529194540054,0.5178268251273345,0.8400558134504369,0.3674044243687086,1.4466964414294942e-74,2.1062742830060292e-69
ENSG00000109861,CTSC,leiden,leiden 4,0.4711745133642099,3.854979686814438,1,0.4711745133642099,0.21664576924602344,2.28617185607742e-13,3.328483328700237e-8
ENSG00000023445,BIRC3,leiden,leiden 3,0.48636018915201834,3.375546333585273,0.8073394495412844,0.6024234161087499,0.2767893499682352,3.6139232669165867e-31,5.261583162769197e-26
ENSG00000110777,POU2AF1,leiden,leiden 3,0.4531716115647441,0.8105497810922616,0.47706422018348627,0.9499174165491752,0.3945301146418353,8.15742280601575e-45,1.187655501173445e-39
ENSG00000198851,CD3E,leiden,leiden 1,0.7581051444857937,4.516569292269816,0.9286926994906621,0.8163143146291271,0.7981946249873234,1.1253519839199398e-199,1.6384224604287188e-194
ENSG00000167286,CD3D,leiden,leiden 1,0.7800624987133278,6.53485214855724,0.9235993208828522,0.8445897274671876,0.7936651885516686,5.58896268788359e-198,8.137082556543476e-193
ENSG00000160654,CD3G,leiden,leiden 1,0.76782332057329306,3.9902885164202417,0.8811544991511036,0.8713833060070706,0.7648611479682464,1.8808496784484465e-187,2.7383666638466623e-182
ENSG00000134954,ETS1,leiden,leiden 1,0.47997698115340415,3.682208546755383,0.9117147707979627,0.5264551990677002,0.5245816795679031,2.015630293774841e-113,2.9345964573126666e-108
ENSG00000139193,CD27,leiden,leiden 1,0.38341674714530877,1.435124928053278,0.629881154499151,0.6087128411552207,0.36028452146482687,6.130790947732401e-73,8.925941156622556e-68
